Autor,CoAutores,Publicacion,Revista,Paginas,Anho
César Castelo Fernández,,Graph-Based Pattern Recognition: The Optimum-Path Forest Classifier,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",,2011
Alex Jesus Cuadros Vargas,"Dueñas, Ricardo M., Barrios Aranibar, D.,Gutierrez, Juan C.",Comparaciónentre LVQ y Fuzzy ART para la interpretación de ondas cerebrales,"IX Congreso de la Sociedad Peruana de Computación, CSPC, Trujillo – Perú",,2010
Yván Túpac Valdivia,"Talavera, A., Vellasco, M. M. B. R.",Controlling Oil Production in Smart Wells by MPC Strategy With Reinforcement Learning,"SPE Latin America and the Caribbean Petroleum Engineering Conference, Lima, Peru",,2010
Juan Carlos Gutierrez Caceres,"Dueñas, Ricardo M., Barrios Aranibar, D.,Cuadros Vargas, A",Comparaciónentre LVQ y Fuzzy ART para la interpretación de ondas cerebrales,"IX Congreso de la Sociedad Peruana de Computación, CSPC, Trujillo – Perú",,2010
Dennis Barrios Aranibar,"Dueñas, Ricardo M., Gutierrez, Juan C.; Cuadros Vargas, A. ",Comparaciónentre LVQ y Fuzzy ART para la interpretación de ondas cerebrales,"IX Congreso de la Sociedad Peruana de Computación, CSPC, Trujillo – Perú",,2010
Dennis Barrios Aranibar,"Bustamante, M; del Álamo, C. L",Una propuesta de Control de Acceso para Teléfonos Móviles Inteligentes,"IX Congreso de la Sociedad Peruana de Computación, CSPC, Trujillo – Perú",,2010
Dennis Barrios Aranibar,"Paredes, Mónika L",Seleccion de caracteristicas para la detección de intrusos basado en algoritmos genéticos y k-means,"IX Congreso de la Sociedad Peruana de Computación, CSPC, Trujillo – Perú",,2010
Javier Tejada Cárcamo,"A. Gelbukh, H. Calvo, J. Villegas",Impacto de Recursos Léxicos Manuales y Automáticos en la WSD,CLEI,,2010
Javier Tejada Cárcamo,"A. Gelbukh, H. Calvo ",The Role of Weighted Terms for Detecting the Most Frequent Sense in WSD,Revista ISI. JCR,,2010
Javier Tejada Cárcamo,"Hiram Calvo, Alexander F. Gelbukh, Kazuo Hara",Unsupervised WSD by Finding the Predominant Sense Using Context as a Dynamic Thesaurus,J. Comput. Sci. Technol. 25(5),1030-1039,2010
Cristian Jose Lopez Del Alamo,"Bustamante M, Barrios D.",Propuesta de Control de Acceso para Teléfonos Móviles Inteligentes,"IX Congreso de la Sociedad Peruana de Computación, CSPC, Trujillo – Perú",,2010
José Eduardo Ochoa Luna,"Kate Revoredo, Fabio Gagliardi Cozman",Learning Terminologies in Probabilistic Description Logics,SBIA,41-50,2010
José Eduardo Ochoa Luna,"Kate Revoredo, Fabio Gagliardi Cozman",Semantic Query Extension through Probabilistic Description Logics,URSW,49-60,2010
